idIncidente;
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;
14;
15;
16;
17;
18;
19;
20;
21;
22;
23;
24;
25;
26;
27;
28;
29;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;
40;
41;
42;
48;
865;
866;
883;
947;
991;
1056;
1129;
1168;
1183;
1202;
1511;
1537;
1611;
1663;
1893;
1896;
1899;
1921;
1936;
1965;
2004;
2005;
2135;
2419;
2420;
3743;
3744;
3889;
4118;
4137;
4418;
4507;
5171;
5491;
5630;
5993;
6212;
6247;
6271;
6484;
6558;
6570;
6580;
6643;
6866;
7259;
7313;
7554;
7596;
7636;
7660;
7661;
7811;
7850;
8393;
8396;
8433;
8438;
8458;
8571;
8587;
9218;
9316;
9351;
9409;
9410;
9451;
9497;
9546;
9549;
9558;
9559;
9569;
9573;
9604;
9606;
9607;
9831;
10230;
10231;
10346;
10637;
10638;
10745;
10746;
10756;
10757;
10766;
10968;
10969;
11010;
11011;
11252;
11254;
11269;
11310;
11349;
11374;
11785;
11819;
11820;
11828;
12453;
12611;
13065;
13102;
13103;
13138;
13140;
13152;
13309;
13310;
13505;
13804;
13805;
13806;
13807;
13808;
13809;
13810;
13811;
13812;
13813;
13814;
13815;
13816;
13817;
13818;
14949;
15099;
15337;
15338;
15376;
15457;
15485;
15499;
15502;
15503;
16147;
16179;
16325;
16412;
16568;
17707;
18876;
19466;
19467;
20672;
21017;
21746;
22068;
22482;
22484;
22996;
23268;
23276;
24110;
24309;
24310;
24327;
24472;
24498;
24501;
24564;
24565;
24774;
24775;
25143;
25234;
25392;
25393;
26065;
26066;
26113;
26114;
26115;
26116;
26117;
26413;
26543;
26698;
26699;
26899;
26905;
27656;
28197;
28348;
28350;
28386;
28388;
28391;
28392;
28559;
28962;
29210;
29211;
29212;
29506;
29507;
29532;
29534;
29703;
30162;
30602;
30603;
30604;
30605;
30606;
30607;
30608;
30609;
30610;
30611;
30612;
30613;
30614;
30615;
30616;
30617;
30618;
30619;
30620;
30621;
30622;
30623;
30624;
31761;
32155;
32204;
32208;
32373;
32500;
32577;
32647;
32766;
32770;
32805;
32806;
32875;
33020;
33021;
33105;
33239;
33245;
33351;
33359;
33418;
33420;
33426;
35086;
35087;
35196;
35240;
35291;
35292;
35309;
35325;
35326;
35443;
35448;
36148;
36259;
36380;
36387;
36675;
36676;
36677;
37094;
37502;
37506;
37590;
37926;
37927;
38257;
38258;
39101;
39102;
39375;
39427;
39428;
39430;
40018;
40019;
40020;
40171;
40172;
40271;
40594;
40595;
40652;
40655;
40905;
41016;
41030;
41032;
41033;
41036;
41038;
41135;
41136;
41153;
41683;
41961;
42451;
42452;
42521;
42677;
42678;
42807;
42810;
43015;
43017;
43068;
43070;
43176;
43178;
43179;
43182;
43189;
43192;
43252;
43253;
43255;
43256;
43976;
43977;
43994;
44032;
44302;
44309;
44460;
44464;
44480;
44482;
44483;
44502;
44503;
45192;
45193;
45653;
46002;
46424;
46428;
46934;
46935;
47000;
47131;
47265;
47266;
47267;
47268;
47442;
47575;
47863;
47864;
47938;
47939;
48362;
