carrierCode;tailNum;planeModel;planeYear;
AA;N051AA;;;
AA;N059AA;;;
AA;N060AA;;;
AA;N063AA;;;
AA;N064AA;;;
AA;N066AA;;;
AA;N067AA;;;
AA;N069AA;;;
AA;N071AA;;;
AA;N073AA;;;
AA;N075AA;;;
AA;N076AA;;;
AA;N077AA;;;
AA;N079AA;;;
AA;N080AA;;;
AA;N081AA;;;
AA;N082AA;;;
AA;N083AA;;;
AA;N084AA;;;
XE;N10156;EMB-145XR;2004;
US;N102UW;A320-214;1998;
CO;N10323;737-3TO;1986;
US;N103US;A320-214;1999;
US;N104UW;A320-214;1999;
US;N105UW;A320-214;1999;
US;N106US;A320-214;1999;
US;N107US;A320-214;1999;
US;N108UW;A320-214;1999;
US;N109UW;A320-214;1999;
US;N110UW;A320-214;1999;
XE;N11106;EMB-145XR;2002;
XE;N11109;EMB-145XR;2002;
XE;N11113;EMB-145XR;2002;
XE;N11119;EMB-145XR;2002;
XE;N11121;EMB-145XR;2003;
XE;N11127;EMB-145XR;2003;
XE;N11137;EMB-145XR;2003;
XE;N11140;EMB-145XR;2003;
XE;N11150;EMB-145XR;2003;
XE;N11155;EMB-145XR;2004;
XE;N11176;EMB-145XR;2004;
XE;N11181;EMB-145XR;2005;
XE;N11184;EMB-145XR;2005;
XE;N11189;EMB-145XR;2005;
XE;N11191;EMB-145XR;2005;
XE;N11192;EMB-145XR;2005;
XE;N11193;EMB-145XR;2005;
XE;N11194;EMB-145XR;2005;
XE;N11199;EMB-145XR;2006;
US;N111US;A320-214;1999;
CO;N11206;737-824;2000;
US;N112US;A320-214;1999;
US;N113UW;A320-214;1999;
XE;N11535;EMB-145LR;2001;
XE;N11536;EMB-145LR;2001;
XE;N11539;EMB-145LR;2001;
XE;N11544;EMB-145LR;2002;
XE;N11548;EMB-145LR;2002;
XE;N11551;EMB-145LR;2002;
XE;N11565;EMB-145LR;2002;
CO;N11612;737-524;1994;
CO;N11651;737-524;1997;
US;N117UW;A320-214;2000;
US;N118US;A320-214;2000;
US;N119US;A320-214;2000;
CO;N12109;757-224;1994;
CO;N12114;757-224;1995;
CO;N12116;757-224;1996;
XE;N12122;EMB-145XR;2003;
CO;N12125;757-224;1998;
XE;N12126;EMB-145XR;2003;
XE;N12135;EMB-145XR;2003;
XE;N12136;EMB-145XR;2003;
XE;N12142;EMB-145XR;2003;
XE;N12145;EMB-145XR;2003;
XE;N12157;EMB-145XR;2004;
XE;N12160;EMB-145XR;2004;
XE;N12172;EMB-145XR;2004;
XE;N12195;EMB-145XR;2005;
DL;N121DE;767-332;1987;
US;N121UW;A320-214;2000;
XE;N12201;EMB-145XR;2006;
CO;N12216;737-824;1998;
CO;N12218;737-824;1998;
CO;N12221;737-824;1998;
CO;N12225;737-824;1998;
CO;N12238;737-824;1999;
US;N122US;A320-214;2000;
CO;N12313;737-3TO;1985;
CO;N12318;737-3TO;1986;
CO;N12319;737-3TO;1986;
CO;N12322;737-3TO;1986;
US;N123UW;A320-214;2000;
DL;N124DE;767-332;1987;
US;N124US;A320-214;2000;
XE;N12540;EMB-145LR;2001;
XE;N12552;EMB-145LR;2002;
XE;N12564;EMB-145LR;2002;
XE;N12567;EMB-145LR;2002;
DL;N125DL;767-332;1988;
FL;N126AT;737-76N;2004;
DL;N126DL;767-332;1988;
DL;N127DL;767-332;1988;
DL;N128DL;767-332;1988;
XE;N12900;EMB-145LR;2001;
XE;N12921;EMB-145LR;2000;
XE;N12922;EMB-145LR;2000;
XE;N12924;EMB-145LR;2000;
XE;N12934;EMB-145EP;1997;
XE;N12946;EMB-145EP;1998;
XE;N12957;EMB-145LR;1998;
XE;N12967;EMB-145LR;1999;
XE;N12996;EMB-145LR;2000;
DL;N129DL;767-332;1988;
NW;N1309T;DC-9-31;1968;
DL;N130DL;767-332;1988;
CO;N13110;757-224;1994;
CO;N13113;757-224;1995;
XE;N13118;EMB-145XR;2002;
XE;N13123;EMB-145XR;2003;
XE;N13124;EMB-145XR;2003;
XE;N13132;EMB-145XR;2003;
XE;N13133;EMB-145XR;2003;
CO;N13138;757-224;1999;
DL;N131DN;767-332;1990;
XE;N13202;EMB-145XR;2006;
CO;N13248;737-824;1999;
NW;N1332U;DC-9-31;1969;
XE;N13538;EMB-145LR;2001;
XE;N13550;EMB-145LR;2002;
XE;N13553;EMB-145LR;2002;
XE;N13566;EMB-145LR;2002;
DL;N135DL;767-332;1991;
CO;N13624;737-524;1995;
DL;N136DL;767-332;1991;
CO;N13716;737-724;1998;
CO;N13718;737-724;1999;
CO;N13720;737-724;1999;
CO;N13750;737-724;1999;
DL;N137DL;767-332;1991;
DL;N138DL;767-332;1991;
XE;N13903;EMB-145LR;2001;
XE;N13913;EMB-145LR;2001;
XE;N13914;EMB-145LR;2001;
XE;N13929;EMB-145EP;1997;
XE;N13935;EMB-145EP;1997;
XE;N13936;EMB-145EP;1997;
XE;N13949;EMB-145LR;1998;
XE;N13955;EMB-145LR;1998;
XE;N13956;EMB-145LR;1998;
XE;N13958;EMB-145LR;1998;
XE;N13964;EMB-145LR;1999;
XE;N13965;EMB-145LR;1999;
XE;N13968;EMB-145LR;1999;
XE;N13969;EMB-145LR;1999;
XE;N13970;EMB-145LR;1999;
XE;N13975;EMB-145LR;1999;
XE;N13978;EMB-145LR;1999;
XE;N13979;EMB-145LR;1999;
XE;N13988;EMB-145LR;2000;
XE;N13989;EMB-145LR;2000;
XE;N13990;EMB-145LR;2000;
XE;N13992;EMB-145LR;2000;
XE;N13994;EMB-145LR;2000;
XE;N13995;EMB-145LR;2000;
XE;N13997;EMB-145LR;2000;
DL;N139DL;767-332;1992;
DL;N1402A;767-332;1993;
DL;N140LL;767-332;1993;
CO;N14102;757-224;1994;
XE;N14105;EMB-145XR;2002;
CO;N14106;757-224;1994;
CO;N14107;757-224;1994;
XE;N14116;EMB-145XR;2002;
XE;N14117;EMB-145XR;2002;
CO;N14118;757-224;1997;
XE;N14125;EMB-145XR;2003;
XE;N14143;EMB-145XR;2003;
XE;N14148;EMB-145XR;2003;
XE;N14153;EMB-145XR;2003;
XE;N14158;EMB-145XR;2004;
XE;N14162;EMB-145XR;2004;
XE;N14171;EMB-145XR;2004;
XE;N14177;EMB-145XR;2005;
XE;N14179;EMB-145XR;2005;
XE;N14180;EMB-145XR;2005;
XE;N14188;EMB-145XR;2005;
XE;N14198;EMB-145XR;2006;
XE;N14203;EMB-145XR;2006;
XE;N14204;EMB-145XR;2006;
CO;N14214;737-824;1998;
CO;N14219;737-824;1998;
CO;N14230;737-824;1999;
CO;N14231;737-824;1999;
CO;N14237;737-824;1999;
CO;N14242;737-824;1999;
CO;N14250;737-824;1999;
CO;N14308;737-3TO;1985;
CO;N14320;737-3TO;1986;
CO;N14324;737-3TO;1986;
CO;N14335;737-3TO;1986;
CO;N14336;737-3TO;1987;
CO;N14341;737-3TO;1987;
CO;N14358;737-3TO;1988;
DL;N143DA;767-332;1998;
DL;N144DA;767-332;1999;
XE;N14542;EMB-145LR;2001;
XE;N14543;EMB-145LR;2002;
XE;N14558;EMB-145LR;;
XE;N14573;EMB-145LR;2002;
CO;N14601;737-524;1994;
CO;N14604;737-524;1994;
CO;N14605;737-524;1994;
CO;N14609;737-524;1994;
CO;N14628;737-524;1995;
CO;N14629;737-524;1965;
CO;N14639;737-524;1997;
CO;N14645;737-524;1997;
CO;N14652;737-524;1998;
CO;N14653;737-524;1998;
CO;N14704;737-724;1998;
CO;N14731;737-724;1999;
CO;N14735;737-724;1999;
XE;N14902;EMB-145LR;2001;
XE;N14904;EMB-145LR;2001;
XE;N14905;EMB-145LR;2001;
XE;N14916;EMB-145LR;2001;
XE;N14920;EMB-145LR;2001;
XE;N14923;EMB-145LR;2000;
XE;N14933;EMB-145EP;1997;
XE;N14937;EMB-145EP;1997;
XE;N14939;EMB-145EP;1997;
XE;N14940;EMB-145EP;1997;
XE;N14947;EMB-145EP;1998;
XE;N14950;EMB-145LR;1998;
XE;N14959;EMB-145LR;1998;
XE;N14960;EMB-145LR;1998;
XE;N14972;EMB-145LR;1999;
XE;N14974;EMB-145LR;1999;
XE;N14977;EMB-145LR;1999;
XE;N14991;EMB-145LR;2000;
XE;N14993;EMB-145LR;2000;
XE;N14998;EMB-145LR;2000;
FL;N149AT;737-76N;2004;
DL;N1501P;767-3P6;1990;
US;N154AW;737-3G7;1987;
YV;N154SF;CL-600-2B19;1996;
XE;N15555;EMB-145LR;;
XE;N15572;EMB-145LR;2002;
XE;N15574;EMB-145LR;;
US;N155AW;737-3G7;1987;
US;N156AW;737-3G7;1987;
CO;N15710;737-724;1998;
CO;N15712;737-724;1998;
US;N157AW;737-3G7;1987;
XE;N15910;EMB-145LR;2001;
XE;N15912;EMB-145LR;2001;
XE;N15948;EMB-145EP;1998;
XE;N15973;EMB-145LR;1999;
XE;N15980;EMB-145LR;1999;
XE;N15983;EMB-145LR;2000;
XE;N15985;EMB-145LR;2000;
XE;N15986;EMB-145LR;2000;
DL;N16065;767-332;1999;
DL;N1608;767-332;2000;
XE;N16112;EMB-145XR;2002;
DL;N1611B;767-332;2000;
DL;N1612T;767-332;2001;
DL;N1613B;767-332;2001;
XE;N16147;EMB-145XR;2003;
XE;N16149;EMB-145XR;2003;
XE;N16151;EMB-145XR;2003;
XE;N16183;EMB-145XR;2005;
US;N161UW;A321-211;2001;
CO;N16217;737-824;1998;
CO;N16234;737-824;1999;
US;N162UW;A321-211;2001;
CO;N16301;737-3TO;1985;
US;N163US;A321-211;2001;
US;N164AW;737-33A;1986;
XE;N16541;EMB-145LR;2001;
XE;N16571;EMB-145LR;2002;
US;N165US;A321-211;2001;
CO;N16617;;;
CO;N16632;737-524;1995;
CO;N16646;737-524;1997;
CO;N16647;737-524;1997;
CO;N16648;737-524;1997;
CO;N16649;737-524;1997;
FL;N166AT;737-7BD;2004;
US;N166AW;737-33A;1986;
CO;N16701;737-724;1998;
CO;N16703;737-724;1998;
CO;N16709;737-724;1998;
CO;N16713;737-724;1998;
CO;N16732;737-724;1999;
FL;N167AT;737-7BD;2004;
US;N167US;A321-211;2001;
FL;N168AT;737-76N;2004;
US;N168AW;737-33A;1986;
XE;N16911;EMB-145LR;2001;
XE;N16918;EMB-145LR;2001;
XE;N16919;EMB-145LR;2001;
XE;N16927;EMB-145EP;1996;
XE;N16944;EMB-145EP;1998;
XE;N16951;EMB-145LR;1998;
XE;N16954;EMB-145LR;1998;
XE;N16961;EMB-145LR;1999;
XE;N16963;EMB-145LR;1999;
XE;N16976;EMB-145LR;1999;
XE;N16987;EMB-145LR;2000;
XE;N16999;EMB-145LR;2000;
FL;N169AT;737-76N;2004;
US;N169UW;A321-211;2001;
US;N170US;A321-211;2001;
CO;N17104;757-224;1994;
CO;N17105;757-224;1994;
