idVuelo;idIncidente;crsDepTime;crsArrTime;arrTime;cancelled;diverted;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport
157;102;1130;1320;1335;0;0;0;0;15;0;0;;;
164;103;600;810;812;0;0;0;0;0;0;0;;;
176;104;605;922;925;0;0;0;0;0;0;0;;;
180;105;630;758;804;0;0;0;0;0;0;0;;;
183;106;600;1335;1337;0;0;0;0;0;0;0;;;
184;107;2000;2123;2213;0;0;48;0;2;0;0;;;
186;108;635;831;836;0;0;0;0;0;0;0;;;
187;109;1430;1808;1820;0;0;0;0;0;0;0;;;
189;110;805;1346;1350;0;0;0;0;0;0;0;;;
194;111;1144;1441;1449;0;0;0;0;0;0;0;;;
195;112;1552;1857;2022;0;0;0;11;74;0;0;;;
196;113;800;1254;1306;0;0;0;0;0;0;0;;;
197;114;2054;2322;2334;0;0;0;0;0;0;0;;;
198;115;1550;1918;1931;0;0;0;0;0;0;0;;;
199;116;2015;2315;2353;0;0;0;0;38;0;0;;;
200;117;1221;1454;1505;0;0;0;0;0;0;0;;;
201;118;1850;2139;2331;0;0;0;0;112;0;0;;;
207;119;1900;2249;2254;0;0;0;0;0;0;0;;;
208;120;1930;2223;2335;0;0;72;0;0;0;0;;;
218;121;1850;2020;2035;0;0;8;0;7;0;0;;;
219;122;715;1433;1436;0;0;0;0;0;0;0;;;
220;123;1900;2045;2047;0;0;0;0;0;0;0;;;
223;124;920;1110;1114;0;0;0;0;0;0;0;;;
224;125;1310;1645;2204;0;0;0;0;319;0;0;;;
227;126;1415;1608;1741;0;0;5;0;0;0;88;;;
233;127;2055;2146;2150;0;0;0;0;0;0;0;;;
234;128;1145;1515;1530;0;0;7;0;8;0;0;;;
235;129;840;1012;1034;0;0;5;0;7;0;10;;;
236;130;1115;1243;1245;0;0;0;0;0;0;0;;;
238;131;2245;554;859;0;1;0;0;0;0;0;185;LAX;
239;132;630;1343;1358;0;0;0;0;15;0;0;;;
241;133;730;917;922;0;0;0;0;0;0;0;;;
243;134;1625;1839;2313;0;0;0;0;274;0;0;;;
246;135;1330;1533;1536;0;0;0;0;0;0;0;;;
249;136;1900;2203;2209;0;0;0;0;0;0;0;;;
254;137;1620;1943;1950;0;0;0;0;0;0;0;;;
259;138;1110;1242;1249;0;0;0;0;0;0;0;;;
262;139;1135;1332;1342;0;0;0;0;0;0;0;;;
264;140;1711;1900;2342;0;0;0;0;282;0;0;;;
265;141;1455;1619;1633;0;0;0;0;0;0;0;;;
267;142;1722;1920;1929;0;0;0;0;0;0;0;;;
272;143;900;1150;1215;0;0;0;0;25;0;0;;;
273;144;824;1623;1735;0;0;0;0;72;0;0;;;
274;145;1640;1810;2342;0;0;0;0;332;0;0;;;
275;146;1505;1608;1614;0;0;0;0;0;0;0;;;
276;147;600;743;752;0;0;0;0;0;0;0;;;
278;148;1255;1427;1438;0;0;0;0;0;0;0;;;
283;149;1435;1909;1951;0;0;0;0;42;0;0;;;
295;150;1220;1332;1337;0;0;0;0;0;0;0;;;
296;151;1400;1527;2249;0;0;0;0;442;0;0;;;
298;152;610;800;806;0;0;0;0;0;0;0;;;
302;153;1220;1420;1449;0;0;0;0;29;0;0;;;
304;154;1455;1609;1721;0;0;0;6;42;0;24;;;
305;155;1715;1920;1935;0;0;0;0;0;0;15;;;
309;156;1355;1516;1518;0;0;0;0;0;0;0;;;
